Material,Process,Sub-process,Power,Velocity,Hatch spacing,layer thickness,beam D,density,Cp,k,melting T,absorption coefficient,minimal absorptivity,p/lb,p/l,p/b2,p/b,vb,vl,meltpool shape,,Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),paper ID,paper,porosity,relative density,comment,,,,,
Ti-6Al-4V,PBF,SLM,350,1200,,,95,4470.5,561.5,7.2,1649,0.330213634,0.26,#DIV/0!,#DIV/0!,38.78116343,368.4210526,114,0,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,,,,,,
Ti-6Al-4V,PBF,SLM,450,1200,,,95,4470.5,561.5,7.2,1649,0.424560387,0.26,#DIV/0!,#DIV/0!,49.86149584,473.6842105,114,0,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,,,,,,
Ti-6Al-4V,PBF,SLM,520,1200,,,95,4470.5,561.5,7.2,1649,0.490540941,0.26,#DIV/0!,#DIV/0!,57.61772853,547.3684211,114,0,keyhole,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,34,,,,,,,,,
Ti-6Al-4V,PBF,SLM,40,400,,60,39,4470.5,561.5,7.2,1649,0.671773748,0.26,17094.01709,666.6666667,26.29848784,102.5641026,15.6,24,LOF,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,47,,,,,,,,,
Ti-6Al-4V,PBF,SLM,160,1000,,60,39,4470.5,561.5,7.2,1649,1.07480691,0.26,68376.06838,2666.666667,105.1939513,410.2564103,39,60,LOF,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,47,,,,,,,,,
Ti-6Al-4V,PBF,SLM,80,400,,60,39,4470.5,561.5,7.2,1649,1.34346978,0.26,34188.03419,1333.333333,52.59697567,205.1282051,15.6,24,desirable,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,47,,,,,,,,,
Ti-6Al-4V,PBF,SLM,120,400,,60,39,4470.5,561.5,7.2,1649,2.015243528,0.26,51282.05128,2000,78.89546351,307.6923077,15.6,24,desirable,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,47,,,,,,,,,
Ti-6Al-4V,PBF,SLM,160,400,,60,39,4470.5,561.5,7.2,1649,2.68693956,0.26,68376.06838,2666.666667,105.1939513,410.2564103,15.6,24,desirable,,0,0,0,5.5,0,90,4.2,0,0,0,0,0,0,0,0,0,0,0,47,,,,,,,,,
SS316L,PBF,SLM,45,400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,45,900,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,45,1400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,45,1900,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,45,2400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,45,2900,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,45,3400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,130,400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,130,900,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,desirable,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,130,1400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,desirable,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,130,1900,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,130,2400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,130,2900,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,130,3400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,220,400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,220,900,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,220,1400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,220,1900,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,220,2400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,desirable,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,220,2900,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,desirable,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,220,3400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,300,400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,300,900,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,300,1400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,300,1900,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,300,2400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,300,2900,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS316L,PBF,SLM,300,3400,,,,8000,500,16.3,1415,,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,desirable,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,17.3,65,1.5,2.5,49,,,,,,,,,
SS17-4PH,PBF,SLM,45,400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,45,900,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,45,1400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,45,1900,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,45,2400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,45,2900,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,45,3400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,130,400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,130,900,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,130,1400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,130,1900,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,130,2400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,130,2900,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,130,3400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,220,400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,220,900,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,220,1400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,220,1900,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,220,2400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,220,2900,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,220,3400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,LOF,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,300,400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,300,900,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,300,1400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,300,1900,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,300,2400,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
SS17-4PH,PBF,SLM,300,2900,,,,7750,460,17.9,1420,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,keyhole,,0,0,0,0,0,0,0,0,0,0,3.65,0,0,4,16,75,0,0,49,,,,,,,,,
