Material,Process,Sub-process,Power,Velocity,powder flowrate,layer thickness,beam D,Hatch spacing,depth of meltpool,width of melt pool,length of melt pool,d/l,d/w,l/w,E (J/mm),E (J/mm3),absorption coefficient,absorption coefficient 2,density,Cp,k,melting T,minimum absorptivity,meltpool shape,spatter,Y (wt%),Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),D10,D50,D90,paper ID,paper,porosity,relative density,comment,
Ti-6Al-4V,PBF,SLM,100,500,0,30,30,101.010101,45,118,,1.5,0.381355932,,0.2,66,1.889965962,0.339878304,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-6,25,,,1649
Ti-6Al-4V,PBF,SLM,100,750,0,30,30,101.010101,32,98,,1.066666667,0.326530612,,0.133333333,44,1.260003213,0.34426017,4470.5,561.5,7.2,1922,0.26,,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-7,20,,,1649
Ti-6Al-4V,PBF,SLM,100,1000,0,30,30,101.010101,24,75,,0.8,0.32,,0.1,33,0.944944123,0.26837201,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-8,6,,,1649
Ti-6Al-4V,PBF,SLM,100,1200,0,30,30,102.8806584,22,72,,0.733333333,0.305555556,,0.083333333,27,0.787492294,0.293442931,4470.5,561.5,7.2,1922,0.26,LOF,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-9,0,,,1649
Ti-6Al-4V,PBF,SLM,150,500,0,30,30,100,102,145,,3.4,0.703448276,,0.3,100,2.834910084,0.335359463,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-10,8,,,1649
Ti-6Al-4V,PBF,SLM,150,750,0,30,30,101.010101,72,135,,2.4,0.533333333,,0.2,66,1.889965962,0.425105874,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-11,0,,,1649
Ti-6Al-4V,PBF,SLM,150,1000,0,30,30,100,53,116,,1.766666667,0.456896552,,0.15,50,1.417455042,0.415035521,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-12,0,,,1649
Ti-6Al-4V,PBF,SLM,150,1200,0,30,30,101.6260163,50,108,,1.666666667,0.462962963,,0.125,41,1.181199583,0.429128076,4470.5,561.5,7.2,1922,0.26,,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-13,5,,,1649
Ti-6Al-4V,PBF,SLM,195,500,0,30,30,100,176,193,,5.866666667,0.911917098,,0.39,130,3.685429739,0.446986921,4470.5,561.5,7.2,1922,0.26,keyhole,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-14,9,,,1649
Ti-6Al-4V,PBF,SLM,195,750,0,30,30,100.7751938,110,162,,3.666666667,0.679012346,,0.26,86,2.456979065,0.46579282,4470.5,561.5,7.2,1922,0.26,,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-15,2,,,1649
Ti-6Al-4V,PBF,SLM,195,1000,0,30,30,100,81,130,,2.7,0.623076923,,0.195,65,1.84271487,0.398504092,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-16,0,,,1649
Ti-6Al-4V,PBF,SLM,195,1200,0,30,30,100.308642,65,122,,2.166666667,0.532786885,,0.1625,54,1.535582772,0.418740253,4470.5,561.5,7.2,1922,0.26,desirable,,0,0,0,0,5.5,0,0,0,90,4.2,0,0,0,0,0,0,0,0,0,,,,2,https://link.springer.com/article/10.1007/s40964-017-0030-17,0,,,1649
AlSi10Mg,PBF,SLM,100,150,0,60,70,50,81,62.5,,1.35,1.296,,0.666666667,222.2222222,2.910294228,0.13685204,2590,910,110,1142,0.32,keyhole,,0,0,0.35,9.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,https://link.springer.com/article/10.1007/s00339-016-0428-6,,,,869
AlSi10Mg,PBF,SLM,100,200,0,60,70,50,71,51,,1.183333333,1.392156863,,0.5,166.6666667,2.182720671,0.112569442,2590,910,110,1142,0.32,keyhole,,0,0,0.35,9.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,https://link.springer.com/article/10.1007/s00339-016-0428-7,,,,869
AlSi10Mg,PBF,SLM,100,250,0,60,70,50,61.8,41,,1.03,1.507317073,,0.4,133.3333333,1.74619208,0.090540764,2590,910,110,1142,0.32,keyhole,,0,0,0.35,9.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,https://link.springer.com/article/10.1007/s00339-016-0428-8,,,,869
AlSi10Mg,PBF,SLM,100,300,0,60,70,50,55,32.5,,0.916666667,1.692307692,,0.333333333,111.1111111,1.455147114,0.071423228,2590,910,110,1142,0.32,keyhole,,0,0,0.35,9.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,https://link.springer.com/article/10.1007/s00339-016-0428-9,,,,869
AlSi10Mg,PBF,SLM,100,350,0,60,70,50,45,28,,0.75,1.607142857,,0.285714286,95.23809524,1.247257853,0.061563744,2590,910,110,1142,0.32,keyhole,,0,0,0.35,9.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,https://link.springer.com/article/10.1007/s00339-016-0428-10,,,,869
AlSi10Mg,PBF,SLM,100,400,0,60,70,50,37.5,25,,0.625,1.5,,0.25,83.33333333,1.091360335,0.055074364,2590,910,110,1142,0.32,keyhole,,0,0,0.35,9.5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,https://link.springer.com/article/10.1007/s00339-016-0428-11,,,,869
K403 superalloy,DED,LENS,1000,6.666666667,25,0,,,360,3600,,,0.1,,150,,,,?,?,14.27,1533,,,,0,0,0,0,0,0,0,5.2,2.1,0,5.4,0,0,0,70,11.3,0,0,4.2,,,,4,https://www.sciencedirect.com/science/article/abs/pii/S092583881932599X,,,,1260
K403 superalloy,DED,LENS,1500,6.666666667,25,0,,,445,4250,,,0.104705882,,225,,,,?,?,14.27,1533,,,,0,0,0,0,0,0,0,5.2,2.1,0,5.4,0,0,0,70,11.3,0,0,4.2,,,,4,https://www.sciencedirect.com/science/article/abs/pii/S092583881932599X,,,,1260
K403 superalloy,DED,LENS,2000,6.666666667,25,0,,,480,4650,,,0.103225807,,300,,,,?,?,14.27,1533,,,,0,0,0,0,0,0,0,5.2,2.1,0,5.4,0,0,0,70,11.3,0,0,4.2,,,,4,https://www.sciencedirect.com/science/article/abs/pii/S092583881932599X,,,,1260
K403 superalloy,DED,LENS,2500,6.666666667,25,0,,,610,5450,,,0.111926606,,375,,,,?,?,14.27,1533,,,,0,0,0,0,0,0,0,5.2,2.1,0,5.4,0,0,0,70,11.3,0,0,4.2,,,,4,https://www.sciencedirect.com/science/article/abs/pii/S092583881932599X,,,,1260
K403 superalloy,DED,LENS,3000,6.666666667,25,0,,,625,6075,,,0.102880658,,450,,,,?,?,14.27,1533,,,,0,0,0,0,0,0,0,5.2,2.1,0,5.4,0,0,0,70,11.3,0,0,4.2,,,,4,https://www.sciencedirect.com/science/article/abs/pii/S092583881932599X,,,,1260
IN625,PBF,SLM,169,875,0,20,100,100,35,134,,1.75,0.26119403,,0.193142857,96.57,,0.492003222,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303108,,96,,1320
IN625,PBF,SLM,195,875,0,20,100,100,49,170,,2.45,0.288235294,,0.222857143,111.43,,0.678889158,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303109,,98.7,,1320
IN625,PBF,SLM,182,875,0,20,100,90,45,149,,2.25,0.302013423,,0.208,115.56,,0.561970807,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303110,,97.4,,1320
IN625,PBF,SLM,185,725,0,20,100,110,48,153,,2.4,0.31372549,,0.255172414,114.11,,0.48690646,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303111,,96.17,,1320
IN625,PBF,SLM,195,800,0,20,100,110,44,143,,2.2,0.307692308,,0.24375,110.8,,0.444544395,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303112,,98.52,,1320
IN625,PBF,SLM,182,725,0,20,100,90,45,134,,2.25,0.335820896,,0.251034483,139.46,,0.382530059,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303113,,97.29,,1320
IN625,PBF,SLM,182,800,0,20,100,100,44,132,,2.2,0.333333333,,0.2275,113.75,,0.40760248,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303114,,98.21,,1320
IN625,PBF,SLM,195,725,0,20,100,100,52,152,,2.6,0.342105263,,0.268965517,134.48,,0.456079247,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303115,,97.74,,1320
IN625,PBF,SLM,182,800,0,20,100,100,48,143,,2.4,0.335664336,,0.2275,113.75,,0.476297566,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303116,,98.3,,1320
IN625,PBF,SLM,182,875,0,20,100,110,47,134,,2.35,0.350746269,,0.208,94.55,,0.456860135,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303117,,96.75,,1320
IN625,PBF,SLM,169,725,0,20,100,100,51,159,,2.55,0.320754717,,0.233103448,116.55,,0.574462054,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303118,,96.52,,1320
IN625,PBF,SLM,169,800,0,20,100,90,47,154,,2.35,0.305194805,,0.21125,117.36,,0.592668949,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303119,,97.91,,1320
IN625,PBF,SLM,169,800,0,20,100,110,43,150,,2.15,0.286666667,,0.21125,96.02,,0.563009364,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303120,,96.78,,1320
IN625,PBF,SLM,195,800,0,20,100,90,49,149,,2.45,0.32885906,,0.24375,135.42,,0.481618235,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303121,,99.23,,1320
IN625,PBF,SLM,195,800,0,20,100,100,50,155,,2.5,0.322580645,,0.24375,121.88,,0.520175696,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,5,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303122,,98.86,,1320
IN625,PBF,SLM,160,2800,0,40,50,92,40,92,524.4,1,0.434782609,5.7,0.057142857,15.6,,0.762130305,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/21,,,,1320
IN625,PBF,SLM,160,2800,0,40,50,61,40,91.5,521.55,1,0.43715847,5.7,0.057142857,23.3,,0.753967013,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/22,,,,1320
IN625,PBF,SLM,160,2800,0,40,50,52,40,91.52,521.664,1,0.437062937,5.7,0.057142857,27.4,,0.754292701,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/23,,,,1320
IN625,PBF,SLM,160,2800,0,40,50,46,40,92,524.4,1,0.434782609,5.7,0.057142857,31.1,,0.762130305,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/24,,,,1320
IN625,PBF,SLM,160,2800,0,40,50,37,40,92.5,527.25,1,0.432432432,5.7,0.057142857,38.9,,0.770337545,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/25,,,,1320
IN625,PBF,SLM,160,2800,0,40,50,31,40,93,530.1,1,0.430107527,5.7,0.057142857,46.7,,0.778588734,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/26,,,,1320
IN625,PBF,SLM,225,1940,0,40,50,265,60,132.5,755.25,1.5,0.452830189,5.7,0.115979381,10.9,,0.778912461,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/27,,,,1320
IN625,PBF,SLM,225,1940,0,40,50,133,60,133,758.1,1.5,0.45112782,5.7,0.115979381,21.9,,0.784731644,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/28,,,,1320
IN625,PBF,SLM,225,1940,0,40,50,88,60,132,752.4,1.5,0.454545455,5.7,0.115979381,32.8,,0.773114931,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/29,,,,1320
IN625,PBF,SLM,225,1940,0,40,50,75,60,132,752.4,1.5,0.454545455,5.7,0.115979381,38.5,,0.773114931,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/30,,,,1320
IN625,PBF,SLM,225,1940,0,40,50,66,60,132,752.4,1.5,0.454545455,5.7,0.115979381,43.7,,0.773114931,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/31,,,,1320
IN625,PBF,SLM,225,1940,0,40,50,53,60,132.5,755.25,1.5,0.452830189,5.7,0.115979381,54.6,,0.778912461,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/32,,,,1320
IN625,PBF,SLM,225,1940,0,40,50,44,60,132,752.4,1.5,0.454545455,5.7,0.115979381,65.6,,0.773114931,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/33,,,,1320
IN625,PBF,SLM,350,1680,0,40,50,347,80,173.5,936.9,2,0.461095101,5.4,0.208333333,15,,0.741396358,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/34,,,,1320
IN625,PBF,SLM,350,1680,0,40,50,173,80,173,934.2,2,0.462427746,5.4,0.208333333,30,,0.737174354,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/35,,,,1320
IN625,PBF,SLM,350,1680,0,40,50,116,80,174,939.6,2,0.459770115,5.4,0.208333333,45,,0.745630416,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/36,,,,1320
IN625,PBF,SLM,350,1680,0,40,50,99,80,174.24,940.896,2,0.459136823,5.4,0.208333333,52.8,,0.747667045,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/37,,,,1320
IN625,PBF,SLM,350,1680,0,40,50,87,80,174,939.6,2,0.459770115,5.4,0.208333333,60,,0.745630416,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/38,,,,1320
IN625,PBF,SLM,350,1680,0,40,50,69,80,172.5,931.5,2,0.463768116,5.4,0.208333333,75.1,,0.732964405,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/39,,,,1320
IN625,PBF,SLM,350,1680,0,40,50,58,80,174,939.6,2,0.459770115,5.4,0.208333333,90.1,,0.745630416,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/40,,,,1320
IN625,PBF,SLM,350,1180,0,40,50,388,98,194,970,2.45,0.505154639,5,0.29661017,19.1,,0.65482964,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/41,,,,1320
IN625,PBF,SLM,350,1180,0,40,50,194,98,194,970,2.45,0.505154639,5,0.29661017,38.2,,0.65482964,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/42,,,,1320
IN625,PBF,SLM,350,1180,0,40,50,129,98,193.5,967.5,2.45,0.506459948,5,0.29661017,57.4,,0.65150361,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/43,,,,1320
IN625,PBF,SLM,350,1180,0,40,50,110,98,193.6,968,2.45,0.506198347,5,0.29661017,67.3,,0.652168138,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/44,,,,1320
IN625,PBF,SLM,350,1180,0,40,50,97,98,194,970,2.45,0.505154639,5,0.29661017,76.5,,0.65482964,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/45,,,,1320
IN625,PBF,SLM,350,1180,0,40,50,78,98,195,975,2.45,0.502564103,5,0.29661017,95.6,,0.661507101,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/46,,,,1320
IN625,PBF,SLM,350,1180,0,40,50,65,98,195,975,2.45,0.502564103,5,0.29661017,114.7,,0.661507101,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/47,,,,1320
IN625,PBF,SLM,345,1060,0,40,50,429,100,214.5,965.25,2.5,0.466200466,4.5,0.325471698,19,,0.729678349,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/48,,,,1320
IN625,PBF,SLM,345,1060,0,40,50,214,100,214,963,2.5,0.46728972,4.5,0.325471698,38,,0.726326244,8442,429,9.8,1593,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,65,21,0,0,9,,,,6,https://www.mdpi.com/2504-4494/3/1/49,,,,1320
